"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"TCS",56,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,430,3.4,110000,9.4
"Accenture",35,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,245,3.7,67900,6.3
"Wipro",30,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,367,3.7,60900,4.6
"Cognizant",79,"IT Services & Consulting","Other",11.9183905730784,224,3.7,57800,5.8
"Capgemini",57,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,180,3.7,49500,4.6
"HDFC Bank",30,"Other","Mumbai",11.9183905730784,1778,3.8,47900,1.5
"Infosys",30,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,239,3.5,45500,5.1
"ICICI Bank",43,"Other","Mumbai",11.9183905730784,1416,4,43600,1.5
"HCLTech",33,"IT Services & Consulting","Chennai",11.9183905730784,223,3.4,42600,3.6
"Tech Mahindra",38,"IT Services & Consulting","Other",11.9183905730784,328,3.4,40700,2.8
"Genpact",27,"IT Services & Consulting","Other",11.9183905730784,173,3.6,39000,2.2
"Teleperformance",31,"Other","Mumbai",11.2252433925184,251,3.8,35000,0.936
"Axis Bank",46,"Other","Mumbai",11.2252433925184,1479,3.7,30800,1
"Concentrix Corporation",41,"Other","Bangalore / Bengaluru",11.2252433925184,174,3.6,30300,1.3
"Jio",17,"Other","Mumbai",11.2252433925184,1782,4.3,29600,0.623
"Amazon",30,"Internet","Bangalore / Bengaluru",11.9183905730784,511,4,29300,1.4
"iEnergizer",113,"Other","Other",11.9183905730784,49,4.6,26800,0.236
"Reliance Retail",18,"Other","Mumbai",11.9183905730784,1127,3.9,25900,0.718
"IBM",17,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,159,3.9,24600,2.1
"LTIMindtree",86,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,138,3.6,24200,1.9
"HDB Financial Services",6,"Other","Mumbai",8.9226582995244,1067,3.9,24000,0.502
"Larsen & Toubro Limited",13,"Engineering & Construction","Chennai",10.3089526606443,737,3.9,22100,0.723
"Deloitte",21,"Other","Other",11.2252433925184,179,3.7,21300,2.3
"Kotak Mahindra Bank",179,"Other","Mumbai",11.9183905730784,673,3.6,20900,0.854
"Reliance Industries",47,"Other","Other",11.9183905730784,796,4,18900,0.712
"Vodafone Idea",24,"Other","Pune",10.3089526606443,694,4,16900,0.506
"BYJU'S",29,"Other","Bangalore / Bengaluru",10.3089526606443,322,3.1,16600,0.541
"Bharti Airtel",79,"Other","Other",10.3089526606443,775,3.9,16200,0.483
"WNS",28,"Other","Pune",10.3089526606443,60,3.3,14100,0.678
"AU Small Finance Bank",17,"Other","Other",10.3089526606443,756,4.1,13400,0.281
"Tata Motors",30,"Other","Pune",10.3089526606443,497,4.1,13400,0.422
"IndusInd Bank",22,"Other","Mumbai",11.2252433925184,780,3.4,13200,0.512
"Ernst & Young",28,"Other","Bangalore / Bengaluru",10.3089526606443,127,3.4,13100,1.3
"IDFC FIRST Bank",79,"Other","Mumbai",11.9183905730784,701,3.9,13100,0.474
"Flipkart",22,"Internet","Bangalore / Bengaluru",10.3089526606443,550,3.9,12100,0.52
"Bajaj Finserv",7,"Financial Services","Pune",10.3089526606443,1119,4,11700,0.292
"DXC Technology",6,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,133,3.6,11400,0.724
"PwC",22,"Other","Bangalore / Bengaluru",10.3089526606443,127,3.3,11400,1.1
"Infosys BPM",25,"Other","Bangalore / Bengaluru",11.2252433925184,90,3.5,11300,0.703
"Mahindra & Mahindra",24,"Other","Pune",10.3089526606443,549,4.1,11300,0.387
"HDFC Life",17,"Other","Mumbai",11.2252433925184,680,3.9,11100,0.32
"Muthoot Fincorp",26,"Other","Bangalore / Bengaluru",10.3089526606443,1017,4.5,10200,0.089
"Bandhan Bank",144,"Other","Other",10.3089526606443,965,3.7,9900,0.247
"Conneqt Business Solutions",22,"Other","Other",10.3089526606443,259,3.5,9800,0.264
"Mphasis",7,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,61,3.3,9700,0.717
"Yes Bank",24,"Other","Mumbai",10.3089526606443,529,3.7,9400,0.427
"Tata Steel",86,"Other","Other",11.2252433925184,223,4,9300,0.329
"Quess",148,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,708,3.8,9000,0.299
"Startek",43,"Other","Bangalore / Bengaluru",10.3089526606443,102,3.1,8900,0.242
"Asian Paints",45,"Other","Mumbai",11.2252433925184,532,3.9,8800,0.25
"Paytm",82,"Other","Other",8.9226582995244,401,3.2,8700,0.332
"UltraTech Cement",20,"Other","Mumbai",10.3089526606443,525,4.1,8600,0.234
"Shriram Finance",89,"Other","Chennai",10.3089526606443,1081,4,8500,0.149
"Maruti Suzuki",38,"Other","Other",10.3089526606443,435,4.2,8500,0.263
"Bajaj Finance",40,"Other","Pune",10.3089526606443,930,3.9,8300,0.222
"Sutherland Global Services",23,"Other","Chennai",11.2252433925184,77,3.4,8300,0.327
"EXL Service",41,"IT Services & Consulting","Other",10.3089526606443,60,3.6,8200,0.429
"Samsung",14,"Other","Other",10.3089526606443,565,3.9,8100,0.26
"Ericsson",25,"Other","Bangalore / Bengaluru",10.3089526606443,161,4,8100,0.422
"Cipla",36,"Pharma","Mumbai",10.3089526606443,286,4.1,8100,0.256
"Wells Fargo",24,"Financial Services","Bangalore / Bengaluru",10.3089526606443,28,3.7,7800,0.541
"Dr. Reddy's",18,"Pharma","Other",10.3089526606443,208,4,7800,0.255
"HGS",37,"Other","Bangalore / Bengaluru",10.3089526606443,119,3.7,7400,0.211
"Optum Global Solutions",56,"IT Services & Consulting","Other",8.00636756765025,63,4,7400,0.466
"ICICI Prudential Life Insurance",129,"Other","Mumbai",11.9183905730784,500,4,7300,0.226
"Delhivery",48,"Other","Other",11.9183905730784,727,3.8,7300,0.202
"Amazon Development Centre India",28,"Internet","Other",10.3089526606443,146,3.9,7200,0.364
"JPMorgan Chase & Co.",117,"Financial Services","Bangalore / Bengaluru",11.9183905730784,54,3.9,7200,0.809
"Jana Small Finance Bank",17,"Other","Bangalore / Bengaluru",8.00636756765025,408,3.8,7200,0.145
"Sun Pharmaceutical Industries",172,"Pharma","Other",10.3089526606443,260,4.1,7200,0.229
"JSW Steel",72,"Other","Other",10.3089526606443,186,3.9,7100,0.297
"Hexaware Technologies",NA,"IT Services & Consulting","Chennai",10.3089526606443,67,3.5,7100,0.514
"L&T Construction",13,"Engineering & Construction","Chennai",10.3089526606443,422,4,7000,0.188
"Lupin",80,"Pharma","Pune",8.9226582995244,199,4.1,7000,0.222
"Zydus Lifesciences",24,"Pharma","Other",11.2252433925184,172,4,6900,0.196
"Hindustan Unilever",41,"Other","Mumbai",10.3089526606443,517,4.2,6900,0.198
"Equitas Small Finance Bank",152,"Other","Chennai",10.3089526606443,444,4.3,6800,0.127
"KPMG India",56,"Other","Bangalore / Bengaluru",10.3089526606443,106,3.4,6700,0.612
