"YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE","logPACKAGE","logREVIEWS","logRATING","logBRANCHES"
56,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,430,3.4,110000,9.4,2.24070968927596,11.6082356447746,1.22377543162212,6.06378520868761
35,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,245,3.7,67900,6.3,1.84054963339749,11.1257913135468,1.30833281965018,5.50125821054473
30,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,367,3.7,60900,4.6,1.52605630349505,11.016988453698,1.30833281965018,5.90536184805457
79,"IT Services & Consulting","Other",11.9183905730784,224,3.7,57800,5.8,1.75785791755237,10.9647440546605,1.30833281965018,5.41164605185504
30,"Other","Mumbai",11.9183905730784,1778,3.8,47900,1.5,0.405465108108164,10.776870783399,1.33500106673234,7.48324441607385
30,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,239,3.5,45500,5.1,1.62924053973028,10.725467604939,1.25276296849537,5.47646355193151
38,"IT Services & Consulting","Other",11.9183905730784,328,3.4,40700,2.8,1.02961941718116,10.6139833714307,1.22377543162212,5.79301360838414
31,"Other","Mumbai",11.2252433925184,251,3.8,35000,0.936,-0.0661398025045449,10.4631033404715,1.33500106673234,5.52545293913178
17,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,159,3.9,24600,2.1,0.741937344729377,10.1105017219205,1.3609765531356,5.06890420222023
86,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,138,3.6,24200,1.9,0.641853886172395,10.0941079121448,1.28093384546206,4.92725368515721
47,"Other","Other",11.9183905730784,796,4,18900,0.712,-0.339677367570161,9.84691720104773,1.38629436111989,6.67959918584438
79,"Other","Other",10.3089526606443,775,3.9,16200,0.483,-0.727738625329564,9.69276652122048,1.3609765531356,6.65286302935335
17,"Other","Other",10.3089526606443,756,4.1,13400,0.281,-1.26940060964839,9.503009985939,1.41098697371026,6.62804137617953
22,"Other","Mumbai",11.2252433925184,780,3.4,13200,0.512,-0.669430653942629,9.48797210857446,1.22377543162212,6.65929391968364
79,"Other","Mumbai",11.9183905730784,701,3.9,13100,0.474,-0.746547957287061,9.48036750918924,1.3609765531356,6.55250788703459
22,"Internet","Bangalore / Bengaluru",10.3089526606443,550,3.9,12100,0.52,-0.653926467406664,9.40096073158483,1.3609765531356,6.30991827822652
7,"Financial Services","Pune",10.3089526606443,1119,4,11700,0.292,-1.23100147671386,9.36734412078585,1.38629436111989,7.02019070831193
6,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,133,3.6,11400,0.724,-0.322963886596421,9.34136863438259,1.28093384546206,4.89034912822175
25,"Other","Bangalore / Bengaluru",11.2252433925184,90,3.5,11300,0.703,-0.352398387171472,9.33255800470043,1.25276296849537,4.49980967033027
24,"Other","Pune",10.3089526606443,549,4.1,11300,0.387,-0.949330585952355,9.33255800470043,1.41098697371026,6.30809844150953
17,"Other","Mumbai",11.2252433925184,680,3.9,11100,0.32,-1.13943428318836,9.31470038730042,1.3609765531356,6.52209279817015
26,"Other","Bangalore / Bengaluru",10.3089526606443,1017,4.5,10200,0.089,-2.41911890925,9.23014299927236,1.50407739677627,6.92461239604856
144,"Other","Other",10.3089526606443,965,3.7,9900,0.247,-1.39836694235416,9.20029003612268,1.30833281965018,6.87212810133899
7,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,61,3.3,9700,0.717,-0.332679438382517,9.17988116449147,1.19392246847243,4.11087386417331
24,"Other","Mumbai",10.3089526606443,529,3.7,9400,0.427,-0.850971265753513,9.14846496825809,1.30833281965018,6.2709884318583
86,"Other","Other",11.2252433925184,223,4,9300,0.329,-1.11169752821677,9.13776967914135,1.38629436111989,5.40717177146012
148,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,708,3.8,9000,0.299,-1.20731170559145,9.10497985631836,1.33500106673234,6.56244409369372
45,"Other","Mumbai",11.2252433925184,532,3.9,8800,0.25,-1.38629436111989,9.0825070004663,1.3609765531356,6.27664348934164
82,"Other","Other",8.9226582995244,401,3.2,8700,0.332,-1.10262031006565,9.07107830464268,1.16315080980568,5.99396142730657
20,"Other","Mumbai",10.3089526606443,525,4.1,8600,0.234,-1.45243416362444,9.0595174822416,1.41098697371026,6.26339826259162
89,"Other","Chennai",10.3089526606443,1081,4,8500,0.149,-1.90380897303668,9.04782144247841,1.38629436111989,6.98564181763921
38,"Other","Other",10.3089526606443,435,4.2,8500,0.263,-1.33560124680437,9.04782144247841,1.43508452528932,6.07534603108868
40,"Other","Pune",10.3089526606443,930,3.9,8300,0.222,-1.50507789710986,9.02401079378469,1.3609765531356,6.8351845861473
41,"IT Services & Consulting","Other",10.3089526606443,60,3.6,8200,0.429,-0.84629836005412,9.01188943325234,1.28093384546206,4.0943445622221
14,"Other","Other",10.3089526606443,565,3.9,8100,0.26,-1.34707364796661,8.99961934066053,1.3609765531356,6.33682573114644
25,"Other","Bangalore / Bengaluru",10.3089526606443,161,4,8100,0.422,-0.862749964946125,8.99961934066053,1.38629436111989,5.08140436498446
36,"Pharma","Mumbai",10.3089526606443,286,4.1,8100,0.256,-1.36257783450257,8.99961934066053,1.41098697371026,5.65599181081985
24,"Financial Services","Bangalore / Bengaluru",10.3089526606443,28,3.7,7800,0.541,-0.614336000135655,8.96187901267768,1.30833281965018,3.3322045101752
18,"Pharma","Other",10.3089526606443,208,4,7800,0.255,-1.36649173382371,8.96187901267768,1.38629436111989,5.33753807970132
56,"IT Services & Consulting","Other",8.00636756765025,63,4,7400,0.466,-0.763569644856491,8.90923527919226,1.38629436111989,4.14313472639153
129,"Other","Mumbai",11.9183905730784,500,4,7300,0.226,-1.48722027970985,8.89562962713648,1.38629436111989,6.21460809842219
48,"Other","Other",11.9183905730784,727,3.8,7300,0.202,-1.59948758158093,8.89562962713648,1.33500106673234,6.58892647753352
28,"Internet","Other",10.3089526606443,146,3.9,7200,0.364,-1.0106014113454,8.88183630500415,1.3609765531356,4.98360662170834
