"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"TCS",56,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,6.06378520868761,3.4,11.6082356447746,2.24070968927596
"Accenture",35,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,5.50125821054473,3.7,11.1257913135468,1.84054963339749
"Wipro",30,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,5.90536184805457,3.7,11.016988453698,1.52605630349505
"Cognizant",79,"IT Services & Consulting","Other",11.9183905730784,5.41164605185504,3.7,10.9647440546605,1.75785791755237
"HDFC Bank",30,"Other","Mumbai",11.9183905730784,7.48324441607385,3.8,10.776870783399,0.405465108108164
"Infosys",30,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,5.47646355193151,3.5,10.725467604939,1.62924053973028
"Tech Mahindra",38,"IT Services & Consulting","Other",11.9183905730784,5.79301360838414,3.4,10.6139833714307,1.02961941718116
"Teleperformance",31,"Other","Mumbai",11.2252433925184,5.52545293913178,3.8,10.4631033404715,-0.066139802504545
"IBM",17,"IT Services & Consulting","Bangalore / Bengaluru",11.9183905730784,5.06890420222023,3.9,10.1105017219205,0.741937344729377
"LTIMindtree",86,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,4.9272536851572,3.6,10.0941079121448,0.641853886172395
"Reliance Industries",47,"Other","Other",11.9183905730784,6.67959918584438,4,9.84691720104773,-0.339677367570161
"Bharti Airtel",79,"Other","Other",10.3089526606443,6.65286302935335,3.9,9.69276652122048,-0.727738625329564
"AU Small Finance Bank",17,"Other","Other",10.3089526606443,6.62804137617953,4.1,9.503009985939,-1.26940060964839
"IndusInd Bank",22,"Other","Mumbai",11.2252433925184,6.65929391968364,3.4,9.48797210857446,-0.669430653942629
"IDFC FIRST Bank",79,"Other","Mumbai",11.9183905730784,6.55250788703459,3.9,9.48036750918924,-0.746547957287061
"Flipkart",22,"Internet","Bangalore / Bengaluru",10.3089526606443,6.30991827822652,3.9,9.40096073158483,-0.653926467406664
"Bajaj Finserv",7,"Financial Services","Pune",10.3089526606443,7.02019070831193,4,9.36734412078585,-1.23100147671386
"DXC Technology",6,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,4.89034912822175,3.6,9.34136863438259,-0.322963886596421
"Infosys BPM",25,"Other","Bangalore / Bengaluru",11.2252433925184,4.49980967033027,3.5,9.33255800470043,-0.352398387171472
"Mahindra & Mahindra",24,"Other","Pune",10.3089526606443,6.30809844150953,4.1,9.33255800470043,-0.949330585952355
"HDFC Life",17,"Other","Mumbai",11.2252433925184,6.52209279817015,3.9,9.31470038730042,-1.13943428318836
"Muthoot Fincorp",26,"Other","Bangalore / Bengaluru",10.3089526606443,6.92461239604856,4.5,9.23014299927236,-2.41911890925
"Bandhan Bank",144,"Other","Other",10.3089526606443,6.87212810133899,3.7,9.20029003612268,-1.39836694235416
"Mphasis",7,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,4.11087386417331,3.3,9.17988116449147,-0.332679438382517
"Yes Bank",24,"Other","Mumbai",10.3089526606443,6.2709884318583,3.7,9.1484649682581,-0.850971265753513
"Tata Steel",86,"Other","Other",11.2252433925184,5.40717177146012,4,9.13776967914135,-1.11169752821677
"Quess",148,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,6.56244409369372,3.8,9.10497985631836,-1.20731170559145
"Asian Paints",45,"Other","Mumbai",11.2252433925184,6.27664348934164,3.9,9.0825070004663,-1.38629436111989
"Paytm",82,"Other","Other",8.9226582995244,5.99396142730657,3.2,9.07107830464268,-1.10262031006565
"UltraTech Cement",20,"Other","Mumbai",10.3089526606443,6.26339826259162,4.1,9.0595174822416,-1.45243416362444
"Shriram Finance",89,"Other","Chennai",10.3089526606443,6.98564181763921,4,9.04782144247841,-1.90380897303668
"Maruti Suzuki",38,"Other","Other",10.3089526606443,6.07534603108868,4.2,9.04782144247841,-1.33560124680437
"Bajaj Finance",40,"Other","Pune",10.3089526606443,6.8351845861473,3.9,9.02401079378469,-1.50507789710986
"EXL Service",41,"IT Services & Consulting","Other",10.3089526606443,4.0943445622221,3.6,9.01188943325234,-0.84629836005412
"Samsung",14,"Other","Other",10.3089526606443,6.33682573114644,3.9,8.99961934066053,-1.34707364796661
"Ericsson",25,"Other","Bangalore / Bengaluru",10.3089526606443,5.08140436498446,4,8.99961934066053,-0.862749964946125
"Cipla",36,"Pharma","Mumbai",10.3089526606443,5.65599181081985,4.1,8.99961934066053,-1.36257783450257
"Wells Fargo",24,"Financial Services","Bangalore / Bengaluru",10.3089526606443,3.3322045101752,3.7,8.96187901267768,-0.614336000135655
"Dr. Reddy's",18,"Pharma","Other",10.3089526606443,5.33753807970132,4,8.96187901267768,-1.36649173382371
"Optum Global Solutions",56,"IT Services & Consulting","Other",8.00636756765025,4.14313472639153,4,8.90923527919226,-0.763569644856491
"ICICI Prudential Life Insurance",129,"Other","Mumbai",11.9183905730784,6.21460809842219,4,8.89562962713648,-1.48722027970985
"Delhivery",48,"Other","Other",11.9183905730784,6.58892647753352,3.8,8.89562962713648,-1.59948758158093
"Amazon Development Centre India",28,"Internet","Other",10.3089526606443,4.98360662170834,3.9,8.88183630500415,-1.0106014113454
"JPMorgan Chase & Co.",117,"Financial Services","Bangalore / Bengaluru",11.9183905730784,3.98898404656427,3.9,8.88183630500415,-0.211956361923645
"Jana Small Finance Bank",17,"Other","Bangalore / Bengaluru",8.00636756765025,6.01126717440416,3.8,8.88183630500415,-1.93102153656156
"Sun Pharmaceutical Industries",172,"Pharma","Other",10.3089526606443,5.56068163101553,4.1,8.88183630500415,-1.4740332754279
"JSW Steel",72,"Other","Other",10.3089526606443,5.2257466737132,3.9,8.86785006302941,-1.21402314017944
"Hexaware Technologies",NA,"IT Services & Consulting","Chennai",10.3089526606443,4.20469261939097,3.5,8.86785006302941,-0.665532013526972
"L&T Construction",13,"Engineering & Construction","Chennai",10.3089526606443,6.04500531403601,4,8.85366542803745,-1.67131331615219
"Lupin",80,"Pharma","Pune",8.9226582995244,5.29330482472449,4.1,8.85366542803745,-1.50507789710986
"Zydus Lifesciences",24,"Pharma","Other",11.2252433925184,5.14749447681345,4,8.83927669058535,-1.62964061975162
"Hindustan Unilever",41,"Other","Mumbai",10.3089526606443,6.24804287450843,4.2,8.83927669058535,-1.6194882482876
"Equitas Small Finance Bank",152,"Other","Chennai",10.3089526606443,6.09582456243222,4.3,8.8246778911642,-2.06356819252355
"KPMG India",56,"Other","Bangalore / Bengaluru",10.3089526606443,4.66343909411207,3.4,8.80986280537906,-0.491022996469811
"ITC",8,"Other","Bangalore / Bengaluru",8.00636756765025,5.90808293816893,3.9,8.80986280537906,-1.43969513784701
"Ekart Logistics",49,NA,"Other",10.3089526606443,NA,3.9,8.80986280537906,-1.88387475813586
"Ujjivan Small Finance Bank",29,"Other","Bangalore / Bengaluru",10.3089526606443,6.24804287450843,4,8.79482492801452,-2.10373423424888
"Axis Max Life Insurance",34,"Other","New Delhi",10.3089526606443,6.18208490671663,4,8.79482492801452,-1.62964061975162
"Megha Engineering & Infrastructures",42,"Engineering & Construction","Other",10.3089526606443,5.97635090929793,3.9,8.76405326934776,-1.72597172869005
"Tata Projects",7,"Engineering & Construction","Mumbai",10.3089526606443,5.61677109766657,4.2,8.74830491237962,-1.51868354916564
"FIS",85,"Other","Pune",10.3089526606443,4.0943445622221,3.9,8.73230457103318,-0.954511944694353
"L&T Technology Services",24,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,4.54329478227,3.1,8.7160440501614,-0.891598119283784
"Coforge",38,"IT Services & Consulting","Other",10.3089526606443,4.65396035015752,3.2,8.7160440501614,-0.776528789498996
"IIFL Finance",37,"Other","Mumbai",10.3089526606443,6.6682282484174,4,8.69951474821019,-1.98050159382493
"Bajaj Life Insurance",159,"Other","Pune",8.9226582995244,6.38687931936265,3.9,8.69951474821019,-1.79576749062559
"Oracle",45,"Software Product","Bangalore / Bengaluru",8.9226582995244,4.02535169073515,3.5,8.69951474821019,-0.507497833673316
"Indian Army",12,"Other","New Delhi",10.3089526606443,5.8805329864007,4.7,8.69951474821019,-2.3538783873816
"HCL Group",47,"IT Services & Consulting","Chennai",11.2252433925184,4.56434819146784,3.5,8.69951474821019,-0.891598119283784
"JLL",24,"Real Estate","Other",10.3089526606443,4.4188406077966,4.1,8.68270762989381,-1.45671682541644
"Omega Healthcare",41,"Other","Chennai",10.3089526606443,4.20469261939097,3.7,8.68270762989381,-1.37436579025462
"Muthoot Finance",76,"Other","Bangalore / Bengaluru",8.9226582995244,6.62936325343745,3.6,8.68270762989381,-2.06356819252355
"Cholamandalam Investment & Finance",177,"Financial Services","Chennai",8.9226582995244,6.68835471394676,3.8,8.66561319653451,-2.12026353620009
"eClerx",27,"IT Services & Consulting","Pune",10.3089526606443,3.43398720448515,3.1,8.66561319653451,-1.18744350237473
"Virtusa Consulting Services",21,"IT Services & Consulting","Other",10.3089526606443,3.98898404656427,3.7,8.64822145382264,-0.590590592234853
"Udaan",35,"Internet","Bangalore / Bengaluru",8.9226582995244,5.90536184805457,4,8.64822145382264,-1.79576749062559
"HSBC Group",15,"Financial Services","Bangalore / Bengaluru",8.9226582995244,4.14313472639153,3.9,8.63052187672324,-0.884307686021104
"Indiamart Intermesh",28,"Internet","Other",10.3089526606443,5.12396397940326,3.6,8.63052187672324,-1.62455155024415
"DMart",23,"Other","Mumbai",10.3089526606443,5.48893772615669,3.9,8.63052187672324,-1.72036947314138
"Aurobindo Pharma",20,"Pharma","Other",10.3089526606443,4.7361984483945,4,8.61250337122056,-1.57503648571677
"Siemens",23,"Other","Bangalore / Bengaluru",10.3089526606443,5.01063529409626,4,8.59415423255237,-1.12085789761543
"Shapoorji Pallonji Group",40,"Engineering & Construction","Mumbai",8.9226582995244,5.23110861685459,4.1,8.59415423255237,-1.89047544216721
"SMFG India Credit",33,"Other","Mumbai",10.3089526606443,6.3578422665081,3.9,8.59415423255237,-2.18925640768704
"Standard Chartered",24,"Other","Chennai",10.3089526606443,4.21950770517611,3.6,8.59415423255237,-0.881889305156823
"BigBasket",33,"Internet","Bangalore / Bengaluru",10.3089526606443,4.91265488573605,3.9,8.59415423255237,-1.68739945390381
"CGI Group",20,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,3.76120011569356,4,8.59415423255237,-0.785262469467751
"Access Healthcare",13,"Healthcare","Chennai",10.3089526606443,4.06044301054642,3.7,8.59415423255237,-1.32802545299591
"GlobalLogic",23,"IT Services & Consulting","Other",10.3089526606443,4.07753744390572,3.5,8.59415423255237,-0.944175935363691
"ICICI Lombard General Insurance Company",28,"Other","Mumbai",8.9226582995244,5.72031177660741,3.6,8.59415423255237,-1.63475572041839
"Firstsource Solutions",48,"Other","Bangalore / Bengaluru",10.3089526606443,4.24849524204936,3.5,8.59415423255237,-1.44816976483798
"Manappuram Finance",28,"Other","Bangalore / Bengaluru",10.3089526606443,6.43454651878745,3.9,8.57546209954021,-2.39689577246529
"Apollo Hospitals",17,"Healthcare","Chennai",10.3089526606443,5.42053499927229,4,8.57546209954021,-1.82015894374975
"Mahindra Finance",45,"Other","Mumbai",8.9226582995244,6.57088296233958,3.9,8.57546209954021,-2.12863178587061
"Bosch Global Software Technologies",24,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,3.85014760171006,3.8,8.57546209954021,-0.949330585952355
"UST",75,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,3.89182029811063,3.7,8.55641390456952,-0.962334670375562
"Ashok Leyland",23,"Other","Chennai",10.3089526606443,5.4971682252932,4,8.55641390456952,-1.69281952137315
"Citicorp",9,"Financial Services","Pune",10.3089526606443,4.20469261939097,3.7,8.55641390456952,-0.693147180559945
"Cyient",26,"IT Services & Consulting","Other",8.00636756765025,3.78418963391826,3.6,8.53699581871242,-1.30933331998376
"PolicyBazaar",28,"Internet","Other",10.3089526606443,4.89783979995091,3.7,8.53699581871242,-1.79576749062559
"Hero MotoCorp",44,"Other","Other",8.9226582995244,5.88332238848828,4.1,8.53699581871242,-1.86433016206289
"Swiggy",27,"Internet","Bangalore / Bengaluru",10.3089526606443,5.42053499927229,3.7,8.51719319141624,-1.52785792544168
"JustDial",42,"Internet","Other",10.3089526606443,5.39362754635236,3.5,8.49699048409872,-1.87080267656851
"SBI Cards & Payment Services",15,"Financial Services","Other",8.00636756765025,6.05678401322862,3.6,8.49699048409872,-1.83885107676191
"Kalpataru Projects International",46,"Engineering & Construction","Mumbai",10.3089526606443,5.72358510195238,4.1,8.49699048409872,-2.01740615076038
"BNY",138,"Financial Services","Pune",8.9226582995244,3.2188758248682,3.7,8.49699048409872,-1.20064501423326
"IQVIA",22,"Other","Bangalore / Bengaluru",5.85936070647464,4.12713438504509,3.7,8.47637119689598,-1.20731170559145
"CBRE",17,"Real Estate","Other",10.3089526606443,4.51085950651685,4.1,8.47637119689598,-1.70374859190534
"TVS Motor",20,"Other","Other",10.3089526606443,5.8171111599632,3.9,8.47637119689598,-1.86433016206289
"SBI Life Insurance Company",25,"Other","Mumbai",10.3089526606443,6.45676965557216,3.7,8.47637119689598,-2.16282315061889
"vivo",12,"Other","Other",10.3089526606443,6.01615715969835,4.1,8.45531778769815,-2.05572501506252
"NTT Data",57,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,4.34380542185368,3.8,8.45531778769815,-1.07880966137193
"Persistent Systems",42,"IT Services & Consulting","Pune",10.3089526606443,3.73766961828337,3.6,8.45531778769815,-0.858021823750179
"Eviden",11,"IT Services & Consulting","Pune",8.00636756765025,3.61091791264422,3.6,8.45531778769815,-1.25526609871349
"Atos",118,"IT Services & Consulting","Pune",10.3089526606443,3.89182029811063,3.8,8.45531778769815,-1.09064411901893
"State Bank of India",41,"Other","Mumbai",8.00636756765025,6.39526159811545,3.8,8.45531778769815,-2.20727491318972
"Schneider Electric",10,"Other","Bangalore / Bengaluru",8.9226582995244,4.76217393479776,4.1,8.43381158247719,-1.44816976483798
"Ecom Express",178,"Other","Other",10.3089526606443,6.62804137617953,4,8.43381158247719,-2.37515578582888
"Nagarro",12,"IT Services & Consulting","Other",10.3089526606443,3.87120101090789,3.9,8.43381158247719,-1.1679623668029
"Amdocs",23,"Software Product","Pune",10.3089526606443,3.09104245335832,3.7,8.43381158247719,-1.00239343092757
"Home Credit Finance",40,"Other","Other",10.3089526606443,4.89783979995091,4,8.41183267575841,-2.3434070875143
"JBM Group",26,"Auto Components","Other",8.9226582995244,4.70048036579242,3.9,8.41183267575841,-1.99510039324608
"KEC International",79,"Engineering & Construction","Mumbai",8.9226582995244,5.7268477475872,4,8.41183267575841,-2.05572501506252
"Piramal Capital Housing Finance",47,"Other","Mumbai",10.3089526606443,5.93753620508243,4.2,8.38935981990635,-2.3538783873816
